Model,RMSE,MAE,MAPE,Beats_Baseline
arima,28.55651467492642,26.526662190755207,8.40857098564988,Yes
xgb,30.876802761954565,27.44746492343707,8.458922491390238,Yes
random_walk,31.903417026673367,30.407088726303943,9.612818806167532,Baseline
ar1,35.15314283695599,24.759521510268048,7.528275547688577,Yes
