Model,RMSE,MAE,MAPE,Beats_Baseline
ar1,53.04512099008937,48.443362934567915,10.857021570209184,Yes
xgb,75.67446592149098,72.5444537601701,16.24797394947223,Yes
random_walk,106.85073177621152,106.20725975394744,23.880501183575888,Baseline
arima,110.47511647249407,109.94667561848958,24.728333366861758,No
