Model,RMSE,MAE,MAPE,Beats_Baseline
random_walk,26.80261768523205,24.759672316218985,6.151751158930648,Baseline
xgb,27.24953247533971,21.242659272465687,5.123694296304606,Yes
ar1,35.96889929270394,26.633121725797945,6.421826229490094,No
arima,35.96889929270394,26.633121725797945,6.421826229490094,No
