Model,RMSE,MAE,MAPE,Beats_Baseline
random_walk,6.725787480204474,6.725787480204474,1.4731442781167667,Baseline
arima,11.839996337890625,11.839996337890625,2.5933056775021357,No
ar1,16.80401234866025,16.80401234866025,3.680570448247312,No
xgb,24.07109284002331,24.07109284002331,5.272273735925384,No
