Model,RMSE,MAE,MAPE,Beats_Baseline
xgb,52.04985918412213,47.277207905648744,10.548947651150192,Yes
ar1,53.04512099008937,48.443362934567915,10.857021570209184,Yes
random_walk,106.85073177621152,106.20725975394744,23.880501183575888,Baseline
arima,110.47511647249407,109.94667561848958,24.728333366861758,No
