Model,RMSE,MAE,MAPE,Beats_Baseline
random_walk,60.845487102816534,55.85415505549727,14.107013749936245,Baseline
arima,72.14664722278663,61.941670735677086,15.14923208891987,No
ar1,146.58340110085777,113.80403383158318,26.56470222866134,No
xgb,147.52091759844788,118.76475481352782,28.168368677258428,No
