Model,RMSE,MAE,MAPE,Beats_Baseline
ar1,53.04512099008937,48.443362934567915,10.857021570209184,Yes
xgb,55.65003873973364,49.27168294256859,10.966089764514225,Yes
random_walk,106.85073177621152,106.20725975394744,23.880501183575888,Baseline
arima,110.47511647249407,109.94667561848958,24.728333366861758,No
