Model,RMSE,MAE,MAPE,Beats_Baseline
arima,49.70004470951132,41.255001068115234,19.363793620357093,Yes
random_walk,49.851966863691445,41.55777007116109,19.669071096963105,Baseline
xgb,67.8093668991153,46.39238673785544,18.62551796669624,Yes
ar1,91.31117084846905,63.11134172214349,24.62675942983704,No
