Model,RMSE,MAE,MAPE,Beats_Baseline
random_walk,17.663373447007867,15.104719919317688,3.3672395732426628,Baseline
ar1,26.480240663276398,21.585556693784532,4.860094201072746,No
arima,26.480240663276398,21.585556693784532,4.860094201072746,No
xgb,31.53722758620697,25.801078141090443,5.803082581615933,No
