Model,RMSE,MAE,MAPE,Beats_Baseline
random_walk,17.663373447007867,15.104719919317688,3.3672395732426628,Baseline
ar1,26.48024066340647,21.585556693903293,4.8600942010993675,No
arima,26.48024066340647,21.585556693903293,4.8600942010993675,No
xgb,29.72948847928151,24.237798006875188,5.450388747698563,No
