Model,RMSE,MAE,MAPE,Beats_Baseline
xgb,11.899715507270116,11.899715507270116,2.766281966622759,Yes
arima,26.389984130859375,26.389984130859375,6.134780042099032,Yes
random_walk,31.640351052001222,31.640351052001222,7.355313030743503,Baseline
ar1,49.75442158781658,49.75442158781658,11.566222664233889,No
