Model,RMSE,MAE,MAPE,Beats_Baseline
random_walk,60.845487102816534,55.85415505549727,14.107013749936245,Baseline
arima,72.14664722278663,61.941670735677086,15.14923208891987,No
xgb,95.5230480490379,74.67162849653043,17.566727702067517,No
ar1,146.58340110085777,113.80403383158318,26.56470222866134,No
